MC,CLA,CLS,Q,CLR
73.67,77.28,81.03,2,"[72.02623896608748, 77.51144924264784, 80.54426326385286, 74.86923237059652, 78.61525483850839]"
74.87,77.28,81.03,2,"[77.51144924264784, 80.54426326385286, 74.86923237059652, 78.61525483850839, 78.5853845262445]"
75.93,77.28,81.03,2,"[80.54426326385286, 74.86923237059652, 78.61525483850839, 78.5853845262445, 86.57232861791252]"
77.28,92.97,81.03,2,"[80.54426326385286, 74.86923237059652, 78.61525483850839, 78.5853845262445, 86.57232861791252, 79.08592029698305]"
77.51,92.97,81.03,2,"[74.86923237059652, 78.61525483850839, 78.5853845262445, 86.57232861791252, 79.08592029698305, 86.51361417773445]"
78.59,92.97,81.03,2,"[78.61525483850839, 78.5853845262445, 86.57232861791252, 79.08592029698305, 86.51361417773445, 80.36606805762524]"
78.62,92.97,81.03,2,"[78.5853845262445, 86.57232861791252, 79.08592029698305, 86.51361417773445, 80.36606805762524, 93.737291368592]"
79.09,92.97,81.03,2,"[86.57232861791252, 79.08592029698305, 86.51361417773445, 80.36606805762524, 93.737291368592, 83.29359398135158]"
80.37,92.97,81.03,2,"[79.08592029698305, 86.51361417773445, 80.36606805762524, 93.737291368592, 83.29359398135158, 90.87222557491579]"
80.54,92.97,81.03,2,"[86.51361417773445, 80.36606805762524, 93.737291368592, 83.29359398135158, 90.87222557491579, 89.02670459730004]"
81.03,92.97,91.03,1,"[86.51361417773445, 80.36606805762524, 93.737291368592, 83.29359398135158, 90.87222557491579, 89.02670459730004]"
83.29,92.97,91.03,2,"[80.36606805762524, 93.737291368592, 83.29359398135158, 90.87222557491579, 89.02670459730004]"
86.51,92.97,91.03,2,"[93.737291368592, 83.29359398135158, 90.87222557491579, 89.02670459730004, 87.751647548589]"
86.57,92.97,91.03,2,"[83.29359398135158, 90.87222557491579, 89.02670459730004, 87.751647548589, 87.7760190632888]"
87.75,92.97,91.03,2,"[90.87222557491579, 89.02670459730004, 87.751647548589, 87.7760190632888, 89.7199982386705]"
87.78,92.97,91.03,2,"[89.02670459730004, 87.751647548589, 87.7760190632888, 89.7199982386705, 93.46809952734154]"
89.03,92.97,91.03,2,"[87.751647548589, 87.7760190632888, 89.7199982386705, 93.46809952734154, 93.70075605883174]"
89.72,92.97,91.03,2,"[87.7760190632888, 89.7199982386705, 93.46809952734154, 93.70075605883174, 90.3764916618122]"
90.38,92.97,91.03,2,"[89.7199982386705, 93.46809952734154, 93.70075605883174, 90.3764916618122, 90.69754754718342]"
90.70,92.97,91.03,2,"[93.46809952734154, 93.70075605883174, 90.3764916618122, 90.69754754718342, 96.471382233984]"
90.87,92.97,91.03,2,"[93.70075605883174, 90.3764916618122, 90.69754754718342, 96.471382233984, 92.68173786476237]"
91.03,92.97,101.03,1,"[93.70075605883174, 90.3764916618122, 90.69754754718342, 96.471382233984, 92.68173786476237]"
92.68,92.97,101.03,2,"[90.3764916618122, 90.69754754718342, 96.471382233984, 92.68173786476237]"
92.97,100.72,101.03,2,"[90.3764916618122, 90.69754754718342, 96.471382233984, 92.68173786476237, 94.18615396957244]"
93.47,100.72,101.03,2,"[90.69754754718342, 96.471382233984, 92.68173786476237, 94.18615396957244, 100.92263361240263]"
93.70,100.72,101.03,2,"[96.471382233984, 92.68173786476237, 94.18615396957244, 100.92263361240263, 108.93130374797089]"
93.74,100.72,101.03,2,"[92.68173786476237, 94.18615396957244, 100.92263361240263, 108.93130374797089, 98.47882140673019]"
94.19,100.72,101.03,2,"[94.18615396957244, 100.92263361240263, 108.93130374797089, 98.47882140673019, 104.85098182306598]"
96.47,100.72,101.03,2,"[100.92263361240263, 108.93130374797089, 98.47882140673019, 104.85098182306598, 99.25753831195362]"
98.48,100.72,101.03,2,"[108.93130374797089, 98.47882140673019, 104.85098182306598, 99.25753831195362, 104.15191826109552]"
99.26,100.72,101.03,2,"[98.47882140673019, 104.85098182306598, 99.25753831195362, 104.15191826109552, 101.23689212082014]"
100.72,127.14,101.03,2,"[98.47882140673019, 104.85098182306598, 99.25753831195362, 104.15191826109552, 101.23689212082014, 101.68420962752646]"
100.92,127.14,101.03,2,"[104.85098182306598, 99.25753831195362, 104.15191826109552, 101.23689212082014, 101.68420962752646, 105.02727070716593]"
101.03,127.14,111.03,1,"[104.85098182306598, 99.25753831195362, 104.15191826109552, 101.23689212082014, 101.68420962752646, 105.02727070716593]"
101.24,127.14,111.03,2,"[99.25753831195362, 104.15191826109552, 101.23689212082014, 101.68420962752646, 105.02727070716593]"
101.68,127.14,111.03,2,"[104.15191826109552, 101.23689212082014, 101.68420962752646, 105.02727070716593, 104.56348279768004]"
104.15,127.14,111.03,2,"[101.23689212082014, 101.68420962752646, 105.02727070716593, 104.56348279768004, 105.87075422001166]"
104.56,127.14,111.03,2,"[101.68420962752646, 105.02727070716593, 104.56348279768004, 105.87075422001166, 108.13178703258852]"
104.85,127.14,111.03,2,"[105.02727070716593, 104.56348279768004, 105.87075422001166, 108.13178703258852, 109.6050401614153]"
105.03,127.14,111.03,2,"[104.56348279768004, 105.87075422001166, 108.13178703258852, 109.6050401614153, 121.73464417746744]"
105.87,127.14,111.03,2,"[105.87075422001166, 108.13178703258852, 109.6050401614153, 121.73464417746744, 106.71909651906088]"
106.72,127.14,111.03,2,"[108.13178703258852, 109.6050401614153, 121.73464417746744, 106.71909651906088, 114.05571453166714]"
108.13,127.14,111.03,2,"[109.6050401614153, 121.73464417746744, 106.71909651906088, 114.05571453166714, 121.6909699917851]"
108.93,127.14,111.03,2,"[121.73464417746744, 106.71909651906088, 114.05571453166714, 121.6909699917851, 111.5505311453226]"
109.61,127.14,111.03,2,"[106.71909651906088, 114.05571453166714, 121.6909699917851, 111.5505311453226, 110.48649625074043]"
110.49,127.14,111.03,2,"[114.05571453166714, 121.6909699917851, 111.5505311453226, 110.48649625074043, 123.16299917246646]"
111.03,127.14,121.03,1,"[114.05571453166714, 121.6909699917851, 111.5505311453226, 110.48649625074043, 123.16299917246646]"
111.55,127.14,121.03,2,"[121.6909699917851, 111.5505311453226, 110.48649625074043, 123.16299917246646]"
114.06,127.14,121.03,2,"[111.5505311453226, 110.48649625074043, 123.16299917246646, 117.0659641023756]"
117.07,127.14,121.03,2,"[110.48649625074043, 123.16299917246646, 117.0659641023756, 129.925346831009]"
121.03,127.14,131.03,1,"[110.48649625074043, 123.16299917246646, 117.0659641023756, 129.925346831009]"
121.69,127.14,131.03,2,"[123.16299917246646, 117.0659641023756, 129.925346831009]"
121.73,127.14,131.03,2,"[117.0659641023756, 129.925346831009, 121.87978750575562]"
121.88,127.14,131.03,2,"[129.925346831009, 121.87978750575562, 130.80444885767048]"
123.16,127.14,131.03,2,"[121.87978750575562, 130.80444885767048, 124.7490765486173]"
124.75,127.14,131.03,2,"[130.80444885767048, 124.7490765486173, 138.50895617829627]"
127.14,127.90,131.03,2,"[130.80444885767048, 124.7490765486173, 138.50895617829627, 136.74398779188974]"
127.90,135.19,131.03,2,"[130.80444885767048, 124.7490765486173, 138.50895617829627, 136.74398779188974, 128.95152607170056]"
128.95,135.19,131.03,2,"[124.7490765486173, 138.50895617829627, 136.74398779188974, 128.95152607170056, 131.22122771646173]"
129.93,135.19,131.03,2,"[138.50895617829627, 136.74398779188974, 128.95152607170056, 131.22122771646173, 133.02743052865029]"
130.80,135.19,131.03,2,"[136.74398779188974, 128.95152607170056, 131.22122771646173, 133.02743052865029, 133.9082772198755]"
131.03,135.19,141.03,1,"[136.74398779188974, 128.95152607170056, 131.22122771646173, 133.02743052865029, 133.9082772198755]"
131.22,135.19,141.03,2,"[128.95152607170056, 131.22122771646173, 133.02743052865029, 133.9082772198755]"
133.03,135.19,141.03,2,"[131.22122771646173, 133.02743052865029, 133.9082772198755, 140.7206861763162]"
133.91,135.19,141.03,2,"[133.02743052865029, 133.9082772198755, 140.7206861763162, 143.1953583437786]"
135.19,138.28,141.03,2,"[133.02743052865029, 133.9082772198755, 140.7206861763162, 143.1953583437786, 138.451443181401]"
136.74,138.28,141.03,2,"[133.9082772198755, 140.7206861763162, 143.1953583437786, 138.451443181401, 141.6666582324348]"
138.28,138.46,141.03,2,"[133.9082772198755, 140.7206861763162, 143.1953583437786, 138.451443181401, 141.6666582324348, 140.86630258005255]"
138.45,138.46,141.03,2,"[140.7206861763162, 143.1953583437786, 138.451443181401, 141.6666582324348, 140.86630258005255, 153.72225683032235]"
138.46,140.33,141.03,2,"[140.7206861763162, 143.1953583437786, 138.451443181401, 141.6666582324348, 140.86630258005255, 153.72225683032235, 138.99090758427775]"
138.51,140.33,141.03,2,"[143.1953583437786, 138.451443181401, 141.6666582324348, 140.86630258005255, 153.72225683032235, 138.99090758427775, 139.26663195753218]"
138.99,140.33,141.03,2,"[138.451443181401, 141.6666582324348, 140.86630258005255, 153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848]"
139.27,140.33,141.03,2,"[141.6666582324348, 140.86630258005255, 153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548]"
140.33,142.45,141.03,2,"[141.6666582324348, 140.86630258005255, 153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777]"
140.72,142.45,141.03,2,"[140.86630258005255, 153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873]"
140.87,142.45,141.03,2,"[153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214]"
141.03,142.45,151.03,1,"[153.72225683032235, 138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214]"
141.67,142.45,151.03,2,"[138.99090758427775, 139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214]"
142.32,142.45,151.03,2,"[139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414]"
142.45,144.29,151.03,2,"[139.26663195753218, 144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256]"
142.68,144.29,151.03,2,"[144.90929994191848, 154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101]"
143.20,144.29,151.03,2,"[154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645]"
144.29,147.62,151.03,2,"[154.78006546287548, 142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066]"
144.91,147.62,151.03,2,"[142.68100043026777, 142.3165087360873, 145.97217622406214, 150.86056938328414, 150.3298053549256, 161.5614418491101, 145.48358277679645, 147.83946961947066, 148.77301991835583]"
