MC,CLA,CLS,Q,CLR
125.29,130.83,130.44,2,"[132.81247715639208, 123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197]"
125.76,130.83,130.44,2,"[123.91401387148875, 130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109]"
126.38,130.83,130.44,2,"[130.265516737392, 132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206]"
127.03,130.83,130.44,2,"[132.93540074929456, 125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585]"
127.48,130.83,130.44,2,"[125.29345493951557, 128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756]"
128.07,130.83,130.44,2,"[128.07245888875588, 125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444]"
128.28,130.83,130.44,2,"[125.76397124743559, 139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908]"
128.88,130.83,130.44,2,"[139.3296862628757, 125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115]"
129.50,130.83,130.44,2,"[125.25015280429442, 134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741]"
130.27,130.83,130.44,2,"[134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254]"
130.44,130.83,140.44,1,"[134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254]"
130.83,132.71,140.44,2,"[134.1565471681389, 127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254]"
131.77,132.71,140.44,2,"[127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574]"
132.71,137.45,140.44,2,"[127.02618515651197, 143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245]"
132.81,137.45,140.44,2,"[143.73691573790109, 128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777]"
132.94,137.45,140.44,2,"[128.87964463380206, 137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206]"
134.16,137.45,140.44,2,"[137.34520294369585, 134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527]"
134.29,137.45,140.44,2,"[134.28652272476756, 128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315]"
135.10,137.45,140.44,2,"[128.280561044444, 129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982]"
135.55,137.45,140.44,2,"[129.49596850354908, 131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738]"
135.65,137.45,140.44,2,"[131.7744112320115, 135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399]"
136.60,137.45,140.44,2,"[135.6473078550741, 136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004]"
137.35,137.45,140.44,2,"[136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847]"
137.45,137.84,140.44,2,"[136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904]"
137.84,143.01,140.44,2,"[136.59609236027254, 135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904, 143.2279704284359]"
137.87,143.01,140.44,2,"[135.55327949416574, 142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904, 143.2279704284359, 138.68216976485644]"
138.68,143.01,140.44,2,"[142.06978299412245, 137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904, 143.2279704284359, 138.68216976485644, 144.11206332573158]"
139.00,143.01,140.44,2,"[137.86893915337777, 141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904, 143.2279704284359, 138.68216976485644, 144.11206332573158, 151.136695103857]"
139.33,143.01,140.44,2,"[141.89604934025206, 135.10319694769527, 148.1429319952315, 151.4923079464982, 142.8012197355738, 144.7154577313399, 139.96339039579004, 139.71722980003847, 139.00013327136904, 143.2279704284359, 138.68216976485644, 144.11206332573158, 151.136695103857, 151.85828008145623]"
